"m3","y30","y1","m6","y2","y10","y3","time","y5","y7","spread"
7,"8.2586","7.9210","7.9562","8.0852","8.2067","8.1324","2015-01-30 19:00:00.000 -0500","8.1195","8.1962","0.3086"
8,"8.5037","8.1111","8.1211","8.3705","8.4732","8.3868","2015-02-27 19:00:00.000 -0500","8.4247","8.4758","0.4711"
8,"8.5632","8.3500","8.2800","8.6268","8.5886","8.6273","2015-03-30 19:00:00.000 -0500","8.6005","8.6482","0.4186"
8,"8.7560","8.4045","8.2700","8.7240","8.7855","8.7825","2015-04-29 20:00:00.000 -0400","8.7680","8.8130","0.7450"
8,"8.7314","8.3164","8.1909","8.6423","8.7582","8.6923","2015-05-30 20:00:00.000 -0400","8.7359","8.7836","0.7514"
