"m3","y30","y1","m6","y2","y10","y3","time","y5","y7"
"0","2.770870","0.183478","0.140435","0.268696","1.678261","0.367826","2012-08-31","0.713913","1.135217"
"0","2.881579","0.175789","0.137368","0.255263","1.723158","0.338421","2012-09-30","0.668947","1.118421"
"0","2.900476","0.179524","0.149048","0.277143","1.746190","0.369048","2012-10-31","0.708571","1.145714"
"0","2.803500","0.178500","0.144500","0.268000","1.6540","0.355000","2012-11-30","0.6650","1.076500"
"0","2.8835","0.1585","0.119500","0.2570","1.719000","0.3540","2012-12-31","0.696000","1.134500"
"0","3.080476","0.145238","0.107619","0.265238","1.914762","0.390476","2013-01-31","0.805238","1.298571"
"0","3.165263","0.157368","0.124211","0.267368","1.984211","0.398421","2013-02-28","0.846316","1.348421"
"0","3.162500","0.147500","0.114500","0.2560","1.9575","0.3860","2013-03-31","0.818500","1.317500"
"0","2.932727","0.124545","0.094091","0.232273","1.759091","0.340455","2013-04-30","0.710455","1.152273"
"0","3.112727","0.118636","0.080909","0.250455","1.928182","0.395909","2013-05-31","0.840909","1.310909"
"0","3.400000","0.1420","0.087500","0.3335","2.300000","0.577000","2013-06-30","1.2035","1.7140"
"0","3.6050","0.121818","0.073636","0.340909","2.582273","0.644091","2013-07-31","1.403182","1.991364"
"0","3.757727","0.126818","0.071818","0.356364","2.737273","0.704545","2013-08-31","1.520455","2.152273"
"0","3.787000","0.118500","0.041500","0.404000","2.8095","0.7795","2013-09-30","1.596000","2.2165"
"0","3.675909","0.121364","0.075909","0.335455","2.615909","0.627727","2013-10-31","1.366818","1.993636"
"0","3.800000","0.121579","0.098421","0.303684","2.718421","0.580000","2013-11-30","1.371053","2.069474"
"0","3.889048","0.132857","0.095238","0.340000","2.901905","0.685238","2013-12-31","1.576190","2.285714"
"0","3.769048","0.116190","0.069048","0.393810","2.858095","0.779524","2014-01-31","1.646667","2.293810"
"0","3.662632","0.116842","0.081053","0.326842","2.709474","0.688421","2014-02-28","1.515789","2.152632"
"0","3.620952","0.128095","0.078571","0.399048","2.723333","0.816667","2014-03-31","1.639524","2.233333"
"0","3.517619","0.107619","0.053333","0.417143","2.705238","0.884762","2014-04-30","1.700952","2.269524"
"0","3.390000","0.096667","0.051905","0.389048","2.559048","0.826190","2014-05-31","1.592857","2.120952"
"0","3.420000","0.104762","0.060476","0.452381","2.598571","0.904762","2014-06-30","1.679048","2.193333"
"0","3.331818","0.111364","0.059545","0.506364","2.542273","0.973636","2014-07-31","1.699545","2.172727"
"0","3.200952","0.107143","0.052381","0.472381","2.4200","0.927619","2014-08-31","1.631429","2.080476"
"0","3.2600","0.109524","0.043810","0.566667","2.534286","1.050952","2014-09-30","1.773810","2.220476"
"0","3.040000","0.104545","0.050455","0.445455","2.304091","0.875000","2014-10-31","1.545909","1.980455"
"0","3.038333","0.134444","0.069444","0.527222","2.325556","0.962778","2014-11-30","1.620556","2.028889"
"0","2.833182","0.214545","0.106364","0.635455","2.207273","1.064091","2014-12-31","1.6400","1.980455"
"0","2.4550","0.195500","0.083000","0.551500","1.881500","0.897000","2015-01-31","1.374500","1.671500"
"0","2.566316","0.224211","0.071053","0.618947","1.975263","0.991579","2015-02-28","1.472632","1.787895"
"0","2.626364","0.253636","0.110000","0.640455","2.042727","1.016818","2015-03-31","1.519091","1.842273"
"0","2.585909","0.233636","0.093636","0.5400","1.935000","0.865455","2015-04-30","1.354545","1.690909"
"0","2.955000","0.241000","0.079500","0.6090","2.197500","0.9770","2015-05-31","1.538500","1.933000"
"0","3.111818","0.275455","0.086818","0.688636","2.363636","1.065000","2015-06-30","1.683636","2.099545"
"0","3.066364","0.296818","0.116364","0.667727","2.324545","1.026364","2015-07-31","1.632273","2.041818"
"0","2.855714","0.375714","0.220000","0.697619","2.167143","1.0300","2015-08-31","1.541429","1.908095"
"0","2.952857","0.373333","0.179524","0.713333","2.172857","1.013333","2015-09-30","1.490000","1.876190"
"0","2.888095","0.263333","0.113810","0.644762","2.070000","0.926667","2015-10-31","1.385714","1.762381"
"0","3.0300","0.476842","0.327895","0.884737","2.263158","1.204211","2015-11-30","1.671053","2.024737"
"0","2.9700","0.653636","0.499091","0.982727","2.242727","1.280455","2015-12-31","1.698636","2.038182"
"0","2.9800","0.6100","0.4900","1.0200","2.2400","1.3100","2016-01-31","1.7300","2.0600"
