"m3","y30","y1","m6","y2","y10","y3","time","y5","y7"
"4","7.579000","5.4765","4.9535","6.130000","7.2980","6.476000","1994-07-31","6.909500","7.124500"
"5","7.486087","5.562174","5.081739","6.177391","7.236087","6.495652","1994-08-31","6.877826","7.062174"
"5","7.712381","5.762857","5.240000","6.392381","7.457143","6.692857","1994-09-30","7.083333","7.283333"
"5","7.935000","6.114500","5.621000","6.728500","7.7440","7.041500","1994-10-31","7.403000","7.5815"
"5","8.081500","6.540000","5.9750","7.1485","7.9550","7.4400","1994-11-30","7.717500","7.830000"
"6","7.871429","7.136190","6.504762","7.589524","7.813810","7.709524","1994-12-31","7.776190","7.801429"
"6","7.846500","7.050500","6.506000","7.507000","7.779500","7.6625","1995-01-31","7.756000","7.791500"
"6","7.611579","6.696842","6.308421","7.111579","7.469474","7.247368","1995-02-28","7.365789","7.440526"
"6","7.447826","6.431739","6.172609","6.775652","7.204783","6.892174","1995-03-31","7.047391","7.142609"
"6","7.360526","6.265789","6.046316","6.567895","7.062632","6.684211","1995-04-30","6.860000","6.951053"
"6","6.950000","5.997727","5.930455","6.170909","6.632727","6.268636","1995-05-31","6.414545","6.503182"
"6","6.573182","5.642273","5.661818","5.715909","6.168182","5.795909","1995-06-30","5.928636","6.047273"
"6","6.721000","5.594000","5.618500","5.780000","6.278000","5.885500","1995-07-31","6.008500","6.199000"
"6","6.860435","5.752609","5.650435","5.980870","6.488261","6.102609","1995-08-31","6.243913","6.411739"
"5","6.549000","5.6200","5.537000","5.806000","6.1975","5.8910","1995-09-30","6.0015","6.131500"
"5","6.374762","5.590476","5.564762","5.697143","6.044762","5.771905","1995-10-31","5.862857","5.967143"
"6","6.262857","5.432857","5.505714","5.478571","5.930476","5.569524","1995-11-30","5.694286","5.8300"
"5","6.062500","5.3070","5.349000","5.324500","5.711500","5.386500","1995-12-31","5.513500","5.6315"
"5","6.051905","5.087619","5.132857","5.112381","5.652381","5.204762","1996-01-31","5.362381","5.539048"
"5","6.242000","4.942000","4.966500","5.025500","5.8055","5.143000","1996-02-29","5.3795","5.6380"
"5","6.604286","5.342381","5.158571","5.660952","6.268571","5.785714","1996-03-31","5.966190","6.189524"
"5","6.794091","5.537727","5.267727","5.957273","6.511364","6.107727","1996-04-30","6.300909","6.4800"
"5","6.927727","5.636818","5.330909","6.0950","6.736818","6.271364","1996-05-31","6.483182","6.656818"
"5","7.059000","5.810000","5.462000","6.297000","6.912000","6.485000","1996-06-30","6.689500","6.834000"
"5","7.033182","5.850909","5.524091","6.270000","6.865455","6.453636","1996-07-31","6.635909","6.758182"
"5","6.841818","5.666818","5.341364","6.029091","6.635455","6.206364","1996-08-31","6.389091","6.515000"
"5","7.026000","5.8330","5.453500","6.2340","6.832000","6.407500","1996-09-30","6.597000","6.730000"
"5","6.808636","5.550000","5.316364","5.912727","6.533636","6.078636","1996-10-31","6.270455","6.420000"
"5","6.481579","5.423158","5.273684","5.701579","6.203684","5.818421","1996-11-30","5.973158","6.097368"
"5","6.552381","5.471905","5.243333","5.781905","6.302381","5.906667","1996-12-31","6.068095","6.199048"
"5","6.826667","5.612381","5.307619","6.008095","6.579048","6.155714","1997-01-31","6.333333","6.471429"
"5","6.687895","5.525263","5.265263","5.898421","6.419474","6.032632","1997-02-28","6.198947","6.318947"
"5","6.932500","5.795500","5.4790","6.2220","6.6945","6.378500","1997-03-31","6.537000","6.653500"
"5","7.092727","5.988182","5.5950","6.448182","6.885455","6.6050","1997-04-30","6.759091","6.8600"
"5","6.935714","5.869524","5.527619","6.276667","6.710952","6.421429","1997-05-31","6.567619","6.658571"
"5","6.772381","5.691905","5.338571","6.094762","6.493810","6.237143","1997-06-30","6.375238","6.458095"
"5","6.5100","5.541818","5.329545","5.890909","6.220455","6.001364","1997-07-31","6.120909","6.201818"
"5","6.578571","5.564762","5.401429","5.939048","6.298571","6.059524","1997-08-31","6.160000","6.290476"
"5","6.495238","5.523810","5.295714","5.881905","6.208571","5.975714","1997-09-30","6.106190","6.200952"
"5","6.326364","5.456364","5.299091","5.771818","6.029545","5.839091","1997-10-31","5.928182","6.054091"
"5","6.109444","5.457222","5.376667","5.712778","5.875000","5.755000","1997-11-30","5.803889","5.901667"
"5","5.9900","5.525000","5.451364","5.7150","5.808636","5.741818","1997-12-31","5.773182","5.825000"
